workerid,key,value
W989899aad2,startTime,Wed Apr 27 2022 11:34:01 GMT+0100 (BST)
W989899aad2,condition,"{""objective"":""ambiguous"",""trial_type"":""select"",""horizon"":""random""}"
W989899aad2,trialDataFile,exp1_split1
W989899aad2,featureRandomization,"{""Green"":""Striped"",""Red"":""Spotted"",""Blue"":""Solid"",""Spotted"":""Blue"",""Solid"":""Green"",""Striped"":""Red""}"
W989899aad2,descriptionSet,reduced
W989899aad2,quizAttempt-1,"{""attempt"":1,""correct"":12,""total"":14}"
W989899aad2,quizAttempt-2,"{""attempt"":2,""correct"":2,""total"":2}"
W989899aad2,quizPassed,"{""attempt"":2,""correct"":2,""total"":2}"
W989899aad2,bonus,2
Wf5cf5b88f6,startTime,Wed Apr 27 2022 11:34:48 GMT+0100 (British Summer Time)
Wf5cf5b88f6,condition,"{""objective"":""ambiguous"",""trial_type"":""select"",""horizon"":""random""}"
Wf5cf5b88f6,trialDataFile,exp1_split3
Wf5cf5b88f6,featureRandomization,"{""Green"":""Solid"",""Red"":""Striped"",""Blue"":""Spotted"",""Spotted"":""Red"",""Solid"":""Green"",""Striped"":""Blue""}"
Wf5cf5b88f6,descriptionSet,reduced
Wf5cf5b88f6,quizAttempt-1,"{""attempt"":1,""correct"":11,""total"":14}"
Wf5cf5b88f6,quizAttempt-2,"{""attempt"":2,""correct"":4,""total"":5}"
Wf5cf5b88f6,quizAttempt-3,"{""attempt"":3,""correct"":2,""total"":2}"
Wf5cf5b88f6,quizPassed,"{""attempt"":3,""correct"":2,""total"":2}"
Wf5cf5b88f6,bonus,2
W1f5d7d0709,startTime,Wed Apr 27 2022 11:35:05 GMT+0100 (British Summer Time)
W1f5d7d0709,condition,"{""objective"":""ambiguous"",""trial_type"":""select"",""horizon"":""random""}"
W1f5d7d0709,trialDataFile,exp1_split2
W1f5d7d0709,featureRandomization,"{""Green"":""Solid"",""Red"":""Spotted"",""Blue"":""Striped"",""Spotted"":""Red"",""Solid"":""Blue"",""Striped"":""Green""}"
W1f5d7d0709,descriptionSet,reduced
W1f5d7d0709,quizAttempt-1,"{""attempt"":1,""correct"":14,""total"":14}"
W1f5d7d0709,quizPassed,"{""attempt"":1,""correct"":14,""total"":14}"
W1f5d7d0709,bonus,2
Waf4dc0f83a,startTime,Wed Apr 27 2022 11:34:03 GMT+0100 (British Summer Time)
Waf4dc0f83a,condition,"{""objective"":""ambiguous"",""trial_type"":""select"",""horizon"":""random""}"
Waf4dc0f83a,trialDataFile,exp1_split3
Waf4dc0f83a,featureRandomization,"{""Green"":""Red"",""Red"":""Green"",""Blue"":""Blue"",""Spotted"":""Solid"",""Solid"":""Spotted"",""Striped"":""Striped""}"
Waf4dc0f83a,descriptionSet,reduced
Waf4dc0f83a,quizAttempt-1,"{""attempt"":1,""correct"":6,""total"":14}"
Waf4dc0f83a,quizAttempt-2,"{""attempt"":2,""correct"":5,""total"":12}"
Waf4dc0f83a,quizAttempt-3,"{""attempt"":3,""correct"":8,""total"":9}"
Waf4dc0f83a,quizFailed,"{""attempt"":3,""correct"":8,""total"":9}"
W0708cd94bf,startTime,Wed Apr 27 2022 11:35:23 GMT+0100 (British Summer Time)
W0708cd94bf,condition,"{""objective"":""ambiguous"",""trial_type"":""select"",""horizon"":""random""}"
W0708cd94bf,trialDataFile,exp1_split1
W0708cd94bf,featureRandomization,"{""Green"":""Solid"",""Red"":""Striped"",""Blue"":""Spotted"",""Spotted"":""Red"",""Solid"":""Blue"",""Striped"":""Green""}"
W0708cd94bf,descriptionSet,reduced
W0708cd94bf,quizAttempt-1,"{""attempt"":1,""correct"":12,""total"":14}"
W0708cd94bf,quizAttempt-2,"{""attempt"":2,""correct"":4,""total"":5}"
W0708cd94bf,quizAttempt-3,"{""attempt"":3,""correct"":3,""total"":3}"
W0708cd94bf,quizPassed,"{""attempt"":3,""correct"":3,""total"":3}"
W0708cd94bf,bonus,2
W73c5b5f382,startTime,Wed Apr 27 2022 13:24:28 GMT+0100 (British Summer Time)
W73c5b5f382,condition,"{""objective"":""ambiguous"",""trial_type"":""select"",""horizon"":""random""}"
W73c5b5f382,trialDataFile,exp1_split3
W73c5b5f382,featureRandomization,"{""Green"":""Solid"",""Red"":""Striped"",""Blue"":""Spotted"",""Spotted"":""Blue"",""Solid"":""Green"",""Striped"":""Red""}"
W73c5b5f382,descriptionSet,reduced
W73c5b5f382,quizAttempt-1,"{""attempt"":1,""correct"":13,""total"":14}"
W73c5b5f382,quizAttempt-2,"{""attempt"":2,""correct"":2,""total"":2}"
W73c5b5f382,quizPassed,"{""attempt"":2,""correct"":2,""total"":2}"
W73c5b5f382,bonus,2
Wf460281c00,startTime,Wed Apr 27 2022 13:21:43 GMT+0100 (British Summer Time)
Wf460281c00,condition,"{""objective"":""ambiguous"",""trial_type"":""select"",""horizon"":""random""}"
Wf460281c00,trialDataFile,exp1_split2
Wf460281c00,featureRandomization,"{""Green"":""Spotted"",""Red"":""Solid"",""Blue"":""Striped"",""Spotted"":""Blue"",""Solid"":""Green"",""Striped"":""Red""}"
Wf460281c00,descriptionSet,reduced
Wf460281c00,quizAttempt-1,"{""attempt"":1,""correct"":8,""total"":14}"
Wf460281c00,quizAttempt-2,"{""attempt"":2,""correct"":4,""total"":8}"
Wf460281c00,quizAttempt-3,"{""attempt"":3,""correct"":1,""total"":5}"
Wf460281c00,quizFailed,"{""attempt"":3,""correct"":1,""total"":5}"
W5525ea6b25,startTime,Wed Apr 27 2022 13:21:28 GMT+0100 (British Summer Time)
W5525ea6b25,condition,"{""objective"":""ambiguous"",""trial_type"":""select"",""horizon"":""random""}"
W5525ea6b25,trialDataFile,exp1_split1
W5525ea6b25,featureRandomization,"{""Green"":""Green"",""Red"":""Blue"",""Blue"":""Red"",""Spotted"":""Striped"",""Solid"":""Spotted"",""Striped"":""Solid""}"
W5525ea6b25,descriptionSet,reduced
W5525ea6b25,quizAttempt-1,"{""attempt"":1,""correct"":14,""total"":14}"
W5525ea6b25,quizPassed,"{""attempt"":1,""correct"":14,""total"":14}"
W5525ea6b25,bonus,2
W6750feb29c,startTime,Wed Apr 27 2022 13:21:49 GMT+0100 (British Summer Time)
W6750feb29c,condition,"{""objective"":""ambiguous"",""trial_type"":""select"",""horizon"":""random""}"
W6750feb29c,trialDataFile,exp1_split3
W6750feb29c,featureRandomization,"{""Green"":""Green"",""Red"":""Blue"",""Blue"":""Red"",""Spotted"":""Spotted"",""Solid"":""Solid"",""Striped"":""Striped""}"
W6750feb29c,descriptionSet,reduced
W6750feb29c,quizAttempt-1,"{""attempt"":1,""correct"":14,""total"":14}"
W6750feb29c,quizPassed,"{""attempt"":1,""correct"":14,""total"":14}"
W6750feb29c,bonus,2
W161ec0d4e2,startTime,Wed Apr 27 2022 13:28:34 GMT+0100 (British Summer Time)
W161ec0d4e2,condition,"{""objective"":""ambiguous"",""trial_type"":""select"",""horizon"":""random""}"
W161ec0d4e2,trialDataFile,exp1_split3
W161ec0d4e2,featureRandomization,"{""Green"":""Spotted"",""Red"":""Striped"",""Blue"":""Solid"",""Spotted"":""Red"",""Solid"":""Blue"",""Striped"":""Green""}"
W161ec0d4e2,descriptionSet,reduced
W161ec0d4e2,quizAttempt-1,"{""attempt"":1,""correct"":13,""total"":14}"
W161ec0d4e2,quizAttempt-2,"{""attempt"":2,""correct"":3,""total"":3}"
W161ec0d4e2,quizPassed,"{""attempt"":2,""correct"":3,""total"":3}"
W161ec0d4e2,bonus,2
W2922d8de94,startTime,Wed Apr 27 2022 13:58:23 GMT+0100 (British Summer Time)
W2922d8de94,condition,"{""objective"":""ambiguous"",""trial_type"":""select"",""horizon"":""random""}"
W2922d8de94,trialDataFile,exp1_split3
W2922d8de94,featureRandomization,"{""Green"":""Spotted"",""Red"":""Striped"",""Blue"":""Solid"",""Spotted"":""Red"",""Solid"":""Blue"",""Striped"":""Green""}"
W2922d8de94,descriptionSet,reduced
W2922d8de94,quizAttempt-1,"{""attempt"":1,""correct"":6,""total"":14}"
W2922d8de94,quizAttempt-2,"{""attempt"":2,""correct"":7,""total"":14}"
W2922d8de94,quizAttempt-3,"{""attempt"":3,""correct"":11,""total"":11}"
W2922d8de94,quizPassed,"{""attempt"":3,""correct"":11,""total"":11}"
W2922d8de94,bonus,2
W418fb6e34a,startTime,Wed Apr 27 2022 13:59:41 GMT+0100 (BST)
W418fb6e34a,condition,"{""objective"":""ambiguous"",""trial_type"":""select"",""horizon"":""random""}"
W418fb6e34a,trialDataFile,exp1_split2
W418fb6e34a,featureRandomization,"{""Green"":""Striped"",""Red"":""Solid"",""Blue"":""Spotted"",""Spotted"":""Red"",""Solid"":""Green"",""Striped"":""Blue""}"
W418fb6e34a,descriptionSet,reduced
W418fb6e34a,quizAttempt-1,"{""attempt"":1,""correct"":12,""total"":14}"
W418fb6e34a,quizAttempt-2,"{""attempt"":2,""correct"":1,""total"":3}"
W418fb6e34a,quizAttempt-3,"{""attempt"":3,""correct"":1,""total"":3}"
W418fb6e34a,quizFailed,"{""attempt"":3,""correct"":1,""total"":3}"
W74c8f9d2af,startTime,Wed Apr 27 2022 14:00:36 GMT+0100 (British Summer Time)
W74c8f9d2af,condition,"{""objective"":""ambiguous"",""trial_type"":""select"",""horizon"":""random""}"
W74c8f9d2af,trialDataFile,exp1_split3
W74c8f9d2af,featureRandomization,"{""Green"":""Spotted"",""Red"":""Solid"",""Blue"":""Striped"",""Spotted"":""Green"",""Solid"":""Red"",""Striped"":""Blue""}"
W74c8f9d2af,descriptionSet,reduced
W74c8f9d2af,quizAttempt-1,"{""attempt"":1,""correct"":14,""total"":14}"
